name,minplayers,maxplayers,minplaytime,maxplaytime,yearpublished,rating,borroweddate,returndate
Seven Dragons,2,5,30,10,2011,0,,
Shadow Hunters,4,8,60,60,2005,0,,
Shadowrift,1,6,120,45,2012,0,,
Shadowrun: Crossfire,1,4,60,30,2014,0,,
Shadows over Camelot,3,7,90,60,2005,0,,
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,60,1981,0,,
The Shipwreck Arcana,2,5,30,10,2017,0,,
Shogun,3,5,120,90,2006,0,,
Signorie,2,4,120,60,2015,0,,
Similo,2,8,15,10,2019,0,,
Skull,3,6,45,15,2011,0,,
Sleeping Queens,2,5,20,20,2005,0,,
Small World,2,5,80,40,2009,0,,
Small World Underground,2,5,90,30,2011,0,,
Smash Up,2,4,45,45,2012,0,,
Snake Oil: Elixir,3,8,30,30,2015,0,,
Sneaks & Snitches,2,5,20,20,2010,0,,
Snorta!,3,8,20,20,2004,0,,
So Clover!,3,6,30,30,2021,0,,
Sonora,1,4,45,30,2020,0,,
Space Base,2,5,60,60,2018,0,,
Specter Ops,2,5,120,60,2015,0,,
Spirit Island,1,4,120,90,2017,0,,
Spit It Out!,3,8,30,20,2015,0,,
Splendor,2,4,30,30,2014,0,,
Splendor Duel,2,2,30,30,2022,0,,
Spots,1,4,30,25,2022,0,,
Squint,3,8,30,30,2002,0,,
Star Realms,2,2,20,20,2014,0,,
Star Wars: Outer Rim,1,4,180,120,2019,0,,
Steam Time,2,4,90,90,2015,0,,
Steampunk Rally,2,8,60,45,2015,0,,
Stockpile,2,5,45,45,2015,0,,
Stone Age,2,4,90,60,2008,0,,
Strike,2,5,15,15,2012,0,,
Suburbia,1,4,90,60,2012,0,,
Survive: Escape from Atlantis!,2,4,60,45,1982,0,,
Sushi Go!,2,5,15,15,2013,0,,
Sushi Roll,2,5,20,20,2019,0,,
Sushi Roll!,3,8,10,10,2009,0,,
T.I.M.E Stories,2,4,90,90,2015,0,,
Taboo,4,10,20,20,1989,0,,
Tac Tac Jack,2,7,10,10,2008,0,,
Take 5,2,10,45,45,1994,0,,
Takenoko,2,4,45,45,2011,0,,
Tales & Games: The Hare & the Tortoise,2,5,20,15,2011,0,,
Tapple,2,10,30,30,2012,0,,
Targi,2,2,60,60,2012,0,,
Telestrations,4,8,30,30,2009,0,,
Tenpenny Parks,1,4,75,45,2022,0,,
Teotihuacan: City of Gods,1,4,120,90,2018,0,,
Terror Below,1,5,60,45,2019,0,,
Terror in Meeple City,2,4,30,30,2013,0,,
Terrorscape,2,4,45,30,2023,0,,
This Game Is Killer: Alien on Board,3,10,15,10,2024,0,,
Those Pesky Humans!,2,4,90,90,2009,0,,
Three Kingdoms Redux,3,3,165,135,2014,0,,
Thunderstone Advance: Towers of Ruin,1,5,45,45,2012,0,,
Thurn and Taxis,2,4,60,60,2006,0,,
Ticket to Ride,2,5,60,30,2004,0,,
Ticket to Ride: Europe,2,5,60,30,2005,0,,
Tides of Time,2,2,20,20,2015,0,,
Tiefe Taschen,4,8,50,20,2016,0,,
Tigris & Euphrates,2,4,120,60,1997,0,,
Tiki Topple,2,4,20,20,2008,0,,
Time's Up!,4,18,90,90,1999,0,,
Time's Up! Title Recall!,4,18,60,60,2008,0,,
Timeline: Events,2,8,15,15,2011,0,,
Timeline: Inventions,2,8,15,15,2010,0,,
Timeline: Music & Cinema,2,8,15,15,2013,0,,
Timeline: Science & Discoveries,2,8,15,15,2011,0,,
Tiny Epic Defenders,1,4,30,30,2015,0,,
Tiny Epic Galaxies,1,5,45,30,2015,0,,
Tobago,2,4,60,60,2009,0,,
Tofu Kingdom,3,8,30,10,2015,0,,
Tokaido,1,5,45,45,2012,0,,
Torres,2,4,60,60,1999,0,,
Tournay,2,4,60,30,2011,0,,
Trekking Through History,1,4,60,30,2022,0,,
Tribes: Dawn of Humanity,2,4,45,45,2018,0,,
Trio,3,6,15,15,2021,0,,
Truffle Shuffle,2,4,30,15,2020,0,,
Tumult Royale,2,4,40,40,2015,0,,
Tutankhamun,2,6,30,30,2021,0,,
Twister,2,4,10,10,1966,0,,
Uglydoll Card Game,2,6,15,15,2006,0,,
Ultimate Werewolf: Deluxe Edition,5,75,30,30,2014,0,,
Undermining,2,5,45,45,2011,0,,
Unlock!: Exotic Adventures,1,6,90,60,2018,0,,
